20:02:26.181 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 975.65us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 83.0 tok/s, Generation Tput: 83.0 tok/s | Execution: 48.19ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:02:29.191 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 250.02us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 105.9 tok/s, Generation Tput: 105.9 tok/s | Execution: 37.76ms | KVCache usage: 1.0% of 582 blocks | All Preemptions: 0 reqs
20:02:32.220 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 261.74us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 105.6 tok/s, Generation Tput: 105.6 tok/s | Execution: 37.88ms | KVCache usage: 1.0% of 582 blocks | All Preemptions: 0 reqs
20:02:35.252 INFO: Enqueued TG batch with 3 reqs | Pending: 0 reqs | Input Tokens: 3/8192 toks | Batch creation: 144.08us | Completed TG batch with 3 reqs | Terminated: 0 reqs | Completed Input Tokens: 3 toks | Prompt Tput: 80.1 tok/s, Generation Tput: 80.1 tok/s | Execution: 37.46ms | KVCache usage: 0.5% of 582 blocks | All Preemptions: 0 reqs
20:02:38.272 INFO: Enqueued TG batch with 4 reqs | Pending: 0 reqs | Input Tokens: 4/8192 toks | Batch creation: 172.86us | Completed TG batch with 4 reqs | Terminated: 0 reqs | Completed Input Tokens: 4 toks | Prompt Tput: 105.8 tok/s, Generation Tput: 105.8 tok/s | Execution: 37.80ms | KVCache usage: 0.9% of 582 blocks | All Preemptions: 0 reqs
20:02:41.305 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 196.53us | Completed TG batch with 5 reqs | Terminated: 1 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.3 tok/s, Generation Tput: 131.3 tok/s | Execution: 38.07ms | KVCache usage: 1.0% of 582 blocks | All Preemptions: 0 reqs
20:02:44.341 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 203.65us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.2 tok/s, Generation Tput: 131.2 tok/s | Execution: 38.12ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:02:47.378 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 267.42us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.8 tok/s, Generation Tput: 131.8 tok/s | Execution: 37.92ms | KVCache usage: 1.4% of 582 blocks | All Preemptions: 0 reqs
20:02:50.385 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 273.08us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.1 tok/s, Generation Tput: 131.1 tok/s | Execution: 38.15ms | KVCache usage: 1.5% of 582 blocks | All Preemptions: 0 reqs
20:02:53.387 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 208.60us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 131.7 tok/s, Generation Tput: 131.7 tok/s | Execution: 37.98ms | KVCache usage: 1.2% of 582 blocks | All Preemptions: 0 reqs
20:02:56.424 INFO: Enqueued TG batch with 5 reqs | Pending: 0 reqs | Input Tokens: 5/8192 toks | Batch creation: 264.92us | Completed TG batch with 5 reqs | Terminated: 0 reqs | Completed Input Tokens: 5 toks | Prompt Tput: 132.1 tok/s, Generation Tput: 132.1 tok/s | Execution: 37.85ms | KVCache usage: 1.0% of 582 blocks | All Preemptions: 0 reqs
